#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:allgenes_concatenated_withoutgroup_namedbysubspecies" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:allgenes_concatenated_withoutgroup_namedbysubspecies">
#                    <taxonset id="TaxonSet.allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="kappa1Prior.s:allgenes_concatenated_withoutgroup_namedbysubspecies" name="distribution">
#            <parameter id="kappa1.s:allgenes_concatenated_withoutgroup_namedbysubspecies" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:allgenes_concatenated_withoutgroup_namedbysubspecies" name="distribution">
#            <parameter id="kappa2.s:allgenes_concatenated_withoutgroup_namedbysubspecies" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:allgenes_concatenated_withoutgroup_namedbysubspecies" name="distribution" x="@popSize.t:allgenes_concatenated_withoutgroup_namedbysubspecies">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:allgenes_concatenated_withoutgroup_namedbysubspecies" name="distribution">
#            <parameter id="proportionInvariant.s:allgenes_concatenated_withoutgroup_namedbysubspecies" lower="0.0" name="x" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@allgenes_concatenated_withoutgroup_namedbysubspecies" id="treeLikelihood.allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:allgenes_concatenated_withoutgroup_namedbysubspecies">
#            <siteModel id="SiteModel.s:allgenes_concatenated_withoutgroup_namedbysubspecies" proportionInvariant="@proportionInvariant.s:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:allgenes_concatenated_withoutgroup_namedbysubspecies" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:allgenes_concatenated_withoutgroup_namedbysubspecies" name="shape">1.0</parameter>
#                <substModel id="tn93.s:allgenes_concatenated_withoutgroup_namedbysubspecies" kappa1="@kappa1.s:allgenes_concatenated_withoutgroup_namedbysubspecies" kappa2="@kappa2.s:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:allgenes_concatenated_withoutgroup_namedbysubspecies" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:allgenes_concatenated_withoutgroup_namedbysubspecies" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:allgenes_concatenated_withoutgroup_namedbysubspecies" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	proportionInvariant	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-28639.51810450785	-28473.024791226384	-166.49331328146522	-28473.024791226384	1.1661343289831623	2.0	2.0	0.0	0.3	-163.96656601784255	0.25	0.25	0.25	0.25
1000	-15302.759320174851	-15357.928458838724	55.16913866387306	-15357.928458838724	0.15237288072317318	2.0	2.6693490478098543	0.0	0.155725588263212	57.29886114615649	0.25	0.25	0.25	0.25
2000	-12031.007033358504	-12119.170296190616	88.16326283211072	-12119.170296190616	0.08456299359834067	3.7037756094721956	3.1338097518630086	0.0	0.1379442285794979	90.95522224212988	0.25	0.25	0.25	0.25
3000	-10238.037542748541	-10340.415591870424	102.37804912188184	-10340.415591870424	0.07463339597030136	3.7037756094721956	3.1338097518630086	0.0	0.11187815532567613	104.96056944938464	0.2504417406710201	0.25	0.2495582593289799	0.25
4000	-8523.404028392155	-8654.755740273587	131.3517118814323	-8654.755740273587	0.07665770079320937	5.032622213539356	3.1338097518630086	0.0	0.07296481262673674	133.90416657226314	0.2563930409945269	0.25	0.2495582593289799	0.24404869967649317
5000	-7475.195668052645	-7622.324351799113	147.12868374646868	-7622.324351799113	0.06379449920957586	5.032622213539356	6.741514511310869	0.0	0.0699671426405433	150.662740765848	0.24979215327096901	0.258240724027296	0.24791842302524184	0.24404869967649317
6000	-6780.2192608874175	-6956.297422025937	176.07816113851956	-6956.297422025937	0.08049369713956075	5.032622213539356	6.741514511310869	0.0	0.04845290468920559	179.24478470574257	0.24979215327096901	0.258240724027296	0.24791842302524184	0.24404869967649317
7000	-6174.155087577253	-6363.436275792621	189.2811882153681	-6363.436275792621	0.05887709331554508	5.270034260616545	6.741514511310869	0.0	0.04044689163632752	192.33215596377048	0.24979215327096901	0.258240724027296	0.24791842302524184	0.24404869967649317
8000	-5799.661103036112	-5984.091442069188	184.43033903307563	-5984.091442069188	0.05561716001326202	5.270034260616545	6.741514511310869	0.0	0.03828473110069676	187.42636813643648	0.24979215327096901	0.258240724027296	0.24791842302524184	0.24404869967649317
9000	-5193.021474410346	-5409.953881055346	216.9324066450002	-5409.953881055346	0.063367065124792	5.270034260616545	7.17231631342272	0.0	0.02781798184318098	219.70824736470306	0.24979215327096901	0.258240724027296	0.24791842302524184	0.24404869967649317
10000	-4831.348145669011	-5060.732515140132	229.38436947112098	-5060.732515140132	0.059898239072013436	5.270034260616545	7.17231631342272	0.0	0.022517631788723187	231.94882618772255	0.24979215327096901	0.258240724027296	0.24791842302524184	0.24404869967649317
11000	-4718.79409300383	-4972.024527418162	253.23043441433137	-4972.024527418162	0.0553599371482621	6.834326074736105	7.17231631342272	0.0	0.0168302946944706	255.89544233364902	0.24979215327096901	0.2605854393370536	0.2455737077154842	0.24404869967649317
12000	-4693.8819660718655	-4947.895201926336	254.01323585447045	-4947.895201926336	0.056312557971560505	6.304356525689279	7.728398937637559	0.0	0.017212571264107	256.6972692492939	0.24979215327096901	0.2605854393370536	0.2398406354760116	0.2497817719159658
13000	-4692.234245713688	-4949.532093721584	257.2978480078955	-4949.532093721584	0.06425134274184108	6.304356525689279	7.728398937637559	0.0	0.01889203162758104	260.07498162457773	0.24979215327096901	0.2605854393370536	0.2398406354760116	0.2497817719159658
14000	-4689.709571547784	-4948.884089537263	259.17451798947866	-4948.884089537263	0.061569423648106046	6.304356525689279	7.728398937637559	0.0	0.014598920185305808	261.6938589460714	0.2655643864793436	0.2547312265313383	0.23959512362314156	0.24010926336617647
15000	-4657.20649133708	-4917.888527040386	260.68203570330684	-4917.888527040386	0.057967963766274805	6.304356525689279	11.30051121547099	0.0	0.01614457715567991	263.9822386337656	0.2655643864793436	0.2547312265313383	0.23959512362314156	0.24010926336617647
16000	-4638.920358618503	-4899.672739230616	260.7523806121127	-4899.672739230616	0.06124298304260076	6.304356525689279	11.30051121547099	0.0	0.015982631573306243	264.0425019350841	0.2655643864793436	0.2547312265313383	0.23959512362314156	0.24010926336617647
17000	-4649.7300611688215	-4901.718628099109	251.98856693028725	-4901.718628099109	0.05599061407109007	6.304356525689279	10.82173670179537	0.0	0.024106893501800113	255.60751465078397	0.2655643864793436	0.2547312265313383	0.23959512362314156	0.24010926336617647
18000	-4642.894487468929	-4898.795146916328	255.90065944739945	-4898.795146916328	0.06101575614754084	6.671079881900799	10.82173670179537	0.0	0.01447811763305558	259.0977528108982	0.2619762014504274	0.24951930990824936	0.2338216679837106	0.25468282065761255
