Genus,Species,Subspecies,Type,Museum,Tissue Number,Specimen number,IQGAP2 genbank accession,GPBP genabank accession,ND2 genbank accession,Prep number,Lat,Long,Country,Locality
Chalcophaps,indica,indica,voucher,ANWC,B44351,B44351,MZ618541,MZ618457,MZ618373,,3.5,101.67,Malaysia,"GOMBAK, 20KM NE OF KUALA LUMPUR"
Chalcophaps,indica,indica,voucher,KU,10088,93309,MZ618563,MZ618479,MZ618395,AN 422,23.12,105.96,China,Guangxi
Chalcophaps,indica,indica,voucher,KU,10411,96422,MZ618564,MZ618480,MZ618396,TJD 6267,21.84,107.88,China,Guangxi
Chalcophaps,indica,indica,voucher,KU,12404,111270,MZ618565,MZ618481,MZ618397,RGM 858,2.94,113.03,Malaysia,Sarawak
Chalcophaps,indica,indica,voucher,KU,12439,99039,MZ618566,MZ618482,MZ618398,CHO-B-135,18.9,121.91,Philippines,Camiguin Norte
Chalcophaps,indica,indica,voucher,KU,12629,99082,MZ618567,MZ618483,MZ618399,CHO-B-274,9.84,118.64,Philippines,Palawan
Chalcophaps,indica,indica,voucher,KU,12673,99083,MZ618568,MZ618484,MZ618400,CHO-B-309,9.84,118.64,Philippines,Palawan
Chalcophaps,indica,indica,voucher,KU,12823,99084,MZ618569,MZ618485,MZ618401,REF 43,8.75,117.69,Philippines,Palawan
Chalcophaps,indica,indica,voucher,KU,12947,110341,MZ618570,MZ618486,MZ618402,REF 156,9.18,124.72,Philippines,Camiguin Sur
Chalcophaps,indica,indica,voucher,KU,14008,110429,MZ618571,MZ618487,MZ618403,REF 258,9.19,124.71,Philippines,Camiguin Sur
Chalcophaps,indica,indica,voucher,KU,14078,110610,MZ618572,MZ618488,MZ618404,REF 327,10.34,125.62,Philippines,Dinagat
Chalcophaps,indica,indica,voucher,KU,14295,110773,MZ618573,MZ618489,MZ618405,REF 513,10.74,124.84,Philippines,Leyte
Chalcophaps,indica,indica,voucher,KU,14321,110439,MZ618574,MZ618490,MZ618406,REF 51,9.18,124.72,Philippines,Camiguin Norte
Chalcophaps,indica,indica,voucher,KU,14451,111386,MZ618575,MZ618491,MZ618407,CHO-B-374,12.61,122.05,Philippines,Tablas
Chalcophaps,indica,indica,voucher,KU,14470,113082,MZ618576,MZ618492,MZ618408,CHO-B-393,12.61,122.05,Philippines,Tablas
Chalcophaps,indica,indica,voucher,KU,15262,98729,MZ618577,MZ618493,MZ618409,CHO-B-2,19.1,121.22,Philippines,Dalupiri
Chalcophaps,indica,indica,voucher,KU,15263,98730,MZ618578,MZ618494,MZ618410,CHO-B-3,19.1,121.22,Philippines,Dalupiri
Chalcophaps,indica,indica,voucher,KU,15278,98695,MZ618579,MZ618495,MZ618411,CHO-B-18,10.81,122.18,Philippines,Panay
Chalcophaps,indica,indica,voucher,KU,17898,113056,MZ618580,MZ618496,MZ618412,CHO 477,20.47,121.99,Philippines,Batan
Chalcophaps,indica,indica,voucher,KU,17914,112380,MZ618581,MZ618497,MZ618413,CHO 493,20.29,121.87,Philippines,Sabtang
Chalcophaps,indica,indica,voucher,KU,17928,112381,MZ618582,MZ618498,MZ618414,CHO 507,20.29,121.87,Philippines,Sabtang
Chalcophaps,indica,indica,voucher,KU,17941,112364,MZ618583,MZ618499,MZ618415,CHO 520,20.38,121.93,Philippines,Batan
Chalcophaps,indica,indica,voucher,KU,18107,112434,MZ618584,MZ618500,MZ618416,PAH 473,6.98,122.07,Philippines,Mindanao
Chalcophaps,indica,indica,voucher,KU,19307,116433,MZ618585,MZ618501,MZ618417,CHO 1049,13.8,120.16,Philippines,Lubang
Chalcophaps,indica,indica,voucher,KU,19362,116432,MZ618586,MZ618502,MZ618418,CHO 1104,13.8,120.16,Philippines,Lubang
Chalcophaps,indica,indica,voucher,KU,19398,116642,MZ618587,MZ618503,MZ618419,CHO 1140,10.67,123.19,Philippines,Luzon
Chalcophaps,indica,indica,voucher,KU,20978,114482,MZ618589,MZ618505,MZ618421,CHO 1358,9.76,124.28,Philippines,Bohol
Chalcophaps,indica,indica,voucher,KU,23260,116768,MZ618590,MZ618506,MZ618422,NHR 2717,11.38,107.06,Vietnam,Dong Nai
Chalcophaps,indica,natalis,voucher,ANWC,B27974,B27974,MZ618528,MZ618444,MZ618360,,-10.5,105.58,Australia,Christmas Island
Chalcophaps,indica,natalis,voucher,WAM,A36166,A36166,MZ618594,MZ618510,MZ618426,,-10.58,105.67,Australia,Christmas Island
Chalcophaps,indica,natalis,voucher,WAM,A36642,A36642,MZ618595,MZ618511,MZ618427,,-10.58,105.67,Australia,Christmas Island
Chalcophaps,indica,natalis,voucher,WAM,A38624,A38624,MZ618596,MZ618512,MZ618428,,-10.5,105.67,Australia,Christmas Island
Chalcophaps,longirostris,longirostris,voucher,ANWC,B34022,B34022,MZ618535,MZ618451,MZ618367,,-12.83,131.65,Australia,"ANNABURROO STATION, MARY RIVER"
Chalcophaps,longirostris,rogersi,voucher,ANWC,B28894,B28894,MZ618529,MZ618445,MZ618361,,-26.68,153.05,Australia,BUDERIM
Chalcophaps,longirostris,rogersi,voucher,ANWC,B29959,B29959,MZ618530,MZ618446,MZ618362,,-17.35,145.67,Australia,"BUTCHERS CREEK, MALANDA, ATHERTON TABLELAND"
